instant_x,dteday_x,season_x,yr_x,mnth_x,hr_x,holiday_x,weekday_x,weathersit_x,temp_x,Unnamed: 0,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt,instant_y,dteday_y,season_y,yr_y,mnth_y,hr_y,holiday_y,weekday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y
1,2011-01-01 00:00:00,1,0,1,0,FALSE,6,1,0.24,0,0.2879,0.81,0,1970-01-01 00:00:00,13,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
1,2011-01-01 00:00:00,1,0,1,0,FALSE,6,1,0.24,0,0.2879,0.81,0,1970-01-01 00:00:00,13,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
163,2011-01-08 00:00:00,1,0,1,1,FALSE,6,2,0.18,162,0.2121,0.55,0.0896,1970-01-01 00:00:00,15,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
163,2011-01-08 00:00:00,1,0,1,1,FALSE,6,2,0.18,162,0.2121,0.55,0.0896,1970-01-01 00:00:00,15,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
164,2011-01-08 00:00:00,1,0,1,2,FALSE,6,2,0.18,163,0.2424,0.55,0,1970-01-01 00:00:00,13,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
164,2011-01-08 00:00:00,1,0,1,2,FALSE,6,2,0.18,163,0.2424,0.55,0,1970-01-01 00:00:00,13,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
260,2011-01-12 00:00:00,1,0,1,6,FALSE,3,1,0.12,259,0.1515,0.93,0.1343,1970-01-01 00:00:00,16,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
260,2011-01-12 00:00:00,1,0,1,6,FALSE,3,1,0.12,259,0.1515,0.93,0.1343,1970-01-01 00:00:00,16,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
351,2011-01-16 00:00:00,1,0,1,2,FALSE,0,1,0.26,350,0.2879,0.56,0.0896,1970-01-01 00:00:00,13,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
351,2011-01-16 00:00:00,1,0,1,2,FALSE,0,1,0.26,350,0.2879,0.56,0.0896,1970-01-01 00:00:00,13,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
